source,label_category,label_candidate,label_reason,count
ccris,excluded,,无致癌性试验记录,7795
ccris,negative,negative,明确阴性白名单,3025
ccris,positive,positive,明确阳性白名单,3749
ccris,uncertain,,带限制性描述的结果,209
ccris,uncertain,,无法映射的结果,12
ccris,uncertain,negative,带限制性描述的结果,22
ccris,uncertain,negative,未纳入严格白名单的带方向结果,124
ccris,uncertain,positive,带限制性描述的结果,39
ccris,uncertain,positive,未纳入严格白名单的带方向结果,98
cpdb,negative,negative,明确阴性,6036
cpdb,positive,positive,明确阳性,5651
cpdb,uncertain,,实验证据不足,181
cpdb,uncertain,,无明确判断,10560
cpdb,uncertain,,证据不明确,269
cpdb,uncertain,positive,提示性阳性证据,306
iris,negative,negative,明确人类非致癌物,3
iris,positive,positive,明确人类致癌物,15
iris,uncertain,,无法二分类或证据权重不足,457
iris,uncertain,negative,存在暴露途径或剂量条件的阴性候选,7
iris,uncertain,positive,较弱的阳性证据权重,128
